,fuzzy_cluster_0,fuzzy_cluster_1,fuzzy_cluster_2,fuzzy_cluster_3,fuzzy_cluster_4,fuzzy_cluster_5,fuzzy_cluster_6,fuzzy_cluster_7,fuzzy_cluster_8,fuzzy_cluster_9,fuzzy_cluster_10,fuzzy_cluster_11,fuzzy_cluster_12,fuzzy_cluster_13,fuzzy_cluster_14,fuzzy_cluster_15,fuzzy_cluster_16,fuzzy_cluster_17,fuzzy_cluster_18,fuzzy_cluster_19,fuzzy_cluster_20,fuzzy_cluster_21,fuzzy_cluster_22,fuzzy_cluster_23,fuzzy_cluster_24,fuzzy_cluster_25,fuzzy_cluster_26,fuzzy_cluster_27,fuzzy_cluster_28,fuzzy_cluster_29,dominant_cluster,dominant_score
Alicante,0.03305274555977203,0.033726569931715085,0.03310207587355406,0.03363213787481816,0.03312435458922253,0.0335669986175928,0.03297826911663754,0.033530594855285256,0.03273497802430954,0.03326937346769616,0.03369981149842512,0.033150410310977596,0.0336620145137439,0.03341364578769382,0.03292661137649224,0.03344972522661434,0.03334020969930116,0.03304180583481865,0.033517468435277024,0.033056759740102755,0.03360991283963344,0.03367132119513107,0.03310250284677735,0.03324022818277662,0.03355649144965439,0.032934771063348064,0.03385013458083567,0.0333482678875798,0.03340156949276204,0.03330824012745179,26,0.0339
Amsterdam,0.03396264585368774,0.03244681618302761,0.033853901151232435,0.03264155315198158,0.033817851868846935,0.032820450305137895,0.03412437554476175,0.03290066860593483,0.0345846996092981,0.033458526822375885,0.032484946131502546,0.03376793653441011,0.032582978225235794,0.03320394107389153,0.03419382173171962,0.03308927591561879,0.033351558573292486,0.033954475612607456,0.03294457827395207,0.033930748865676964,0.03273082829923641,0.032588271394239116,0.03386164963009132,0.03358660841037419,0.032848567865265854,0.03420393489202672,0.03209933363602762,0.03333227258242121,0.03321206658969041,0.03342071666643496,8,0.0346
Andorra,0.03299939500086652,0.03381247833580255,0.03305454673072108,0.033702406738909764,0.03307756940706608,0.033601077034206304,0.03291908682273278,0.03355177428545295,0.03268241622128776,0.03325347129384554,0.03379822178859434,0.0330977904731785,0.03374063709852744,0.03339733172953527,0.032876959371995564,0.03345072702942057,0.03332338147666465,0.032999848731221124,0.03353448189849348,0.03300255141009307,0.0336635992255456,0.03373441167271124,0.03305287453010223,0.03319249449338173,0.033588968995731106,0.03288087124651856,0.03401334531376273,0.03332919939444184,0.033383907606480155,0.033284174642709614,26,0.034
Atenas,0.03357838119994012,0.032973589393416665,0.03354073157777428,0.03305814390426905,0.033527799903940274,0.03313992234077126,0.03363310521182709,0.03317577988130708,0.03377445177880903,0.033395476374035386,0.032985341913435495,0.033512523391611225,0.033031646319198825,0.03329990417056733,0.03365378553730074,0.03325410160560079,0.03335354495808963,0.03357359314167991,0.03319312213644956,0.033569726712759936,0.03309641928154774,0.033037646365424854,0.0335435523604275,0.03344805538337302,0.03315125607111819,0.03365711794025103,0.03280495502119001,0.03334861504598316,0.03330531754566946,0.0333823935322314,8,0.0338
Bali,0.033374338151988876,0.03326911069249578,0.03336902648365652,0.03328711072231966,0.03336381205905585,0.03330256821799045,0.03338146902787426,0.03331229122796647,0.03340805714151175,0.03335176327094717,0.03326896732557831,0.03336417230542044,0.033279009800431865,0.033326530684528,0.0333910017192848,0.03332547968777328,0.03333301822145404,0.033377907867321255,0.03331093007479404,0.03338236267356275,0.033286324743859334,0.0332800401102952,0.03336762913315294,0.03335285174372381,0.033302758248520185,0.033384333568366294,0.03323681031062105,0.03333557943682701,0.03333405217380275,0.03334069317487581,8,0.0334
Bangkok,0.03328444757157018,0.033397841068275924,0.033293457749488914,0.03338309035507902,0.033293236361536284,0.03337979631738379,0.03326680655216441,0.03337935289344336,0.03321811552604852,0.033332167638715195,0.033383363970402244,0.0333062685487079,0.03338265459061568,0.033352285769115635,0.03326100330203069,0.0333659182152715,0.033330151485784165,0.03328438932266519,0.03337106107435194,0.03329988259440948,0.03337065507765275,0.03338941078954351,0.033291543781971536,0.0333239657612402,0.033373909449116744,0.033252725360114345,0.033404829678929965,0.03333803679325913,0.03335990376839932,0.033329728632712274,26,0.0334
Barcelona,0.03342277073617294,0.03319998698182465,0.033408830720858096,0.03322298388358139,0.03340810531837091,0.03327297034454828,0.03343592216739274,0.033287761284057124,0.03343911709289147,0.0333526935704406,0.0331873782351386,0.03341344188072146,0.03321369426038854,0.03334934700740512,0.03342134598352806,0.0333202498607902,0.033354179401605455,0.03340510977091722,0.03329782683993238,0.03341750183460032,0.033250594868519626,0.033231610394882476,0.03341306690801307,0.03340111686303336,0.033275517976107304,0.03342988679079852,0.03309837991787478,0.033355191053897705,0.03334745738864403,0.03336596066306346,8,0.0334
Belgrade,0.03304847040007964,0.03373532965673881,0.033096242994934,0.03364277175600017,0.033111937350069724,0.03357424746769555,0.03296949650957934,0.033540180513291794,0.03273977750118586,0.033278411230808026,0.033703204306153756,0.03314417494094494,0.033666082328697805,0.033406343120243695,0.032929513073429506,0.03345650709161364,0.0333281865146789,0.033045331151752025,0.03351951483257418,0.03306802981618543,0.033603642541108016,0.033674159526915846,0.03309330982489076,0.03323197078150248,0.03355718817459853,0.032923519900431436,0.03386803267084531,0.033340522067451056,0.033405295807386645,0.03329860614821302,26,0.0339
Berlin,0.03395657668153707,0.03245580647403249,0.033848389141508096,0.03264920008679357,0.03381082521945493,0.0328259119141819,0.03411633937572374,0.03290630441885083,0.03457803194189625,0.03345977255146039,0.03249249295871218,0.033762812798098334,0.03258982966067665,0.03320263902831604,0.03418886824570525,0.033092702423828314,0.033347468757943186,0.03395085931196225,0.03294781330720052,0.03392960313474496,0.032733521581480074,0.03259463997667241,0.03385512222609354,0.03358229421761408,0.03285245701165192,0.034194774185676464,0.032113786790050475,0.03332993196993283,0.033213838367663055,0.03341738624053831,8,0.0346
Bogota,0.0333958588579181,0.033235488200945115,0.03338668268974318,0.033259911459527974,0.03337727369526393,0.03329361682959669,0.03340123681462808,0.03331128382307956,0.03342454303426996,0.033364272992501026,0.033222908386836066,0.03338723253244907,0.03324394508961658,0.03333463711642475,0.033410079262831176,0.03333250398165438,0.03333478269894938,0.03339620909006207,0.03330730847497381,0.03341539750721999,0.03325826040087981,0.03325443844367207,0.03338455907125222,0.03337453398787528,0.03328988977636781,0.03339656266355356,0.03316720808157848,0.033342011745635905,0.03334953356935273,0.033347829721341184,8,0.0334
