type,categoria,Malaga,Paris,Valencia,Porto,Bordeaux,total
parking,automotive,3,0,0,0,5,8
car_repair,automotive,0,1,1,2,2,6
gas_station,automotive,3,0,1,0,0,4
car_dealer,automotive,0,0,2,1,0,3
car_wash,automotive,2,0,1,0,0,3
museum,culture,3,10,4,1,4,22
historical_landmark,culture,3,3,5,0,0,11
cultural_center,culture,1,2,2,0,3,8
performing_arts_theater,culture,0,3,1,0,3,7
movie_theater,culture,0,2,2,0,2,6
auditorium,culture,1,0,1,1,1,4
monument,culture,1,2,1,0,0,4
sculpture,culture,0,0,1,1,0,2
art_gallery,culture,0,1,0,0,0,1
library,culture,0,1,0,0,0,1
university,education,2,3,2,4,2,13
school,education,2,0,2,2,2,8
child_care_agency,education,0,1,1,1,1,4
secondary_school,education,1,0,1,0,1,3
park,entertainment,2,2,1,4,5,14
historical_place,entertainment,3,4,6,0,0,13
night_club,entertainment,2,0,3,0,0,5
amusement_center,entertainment,1,0,2,0,0,3
aquarium,entertainment,0,0,2,1,0,3
convention_center,entertainment,1,0,1,0,1,3
wedding_venue,entertainment,1,0,0,2,0,3
banquet_hall,entertainment,1,0,0,1,0,2
observation_deck,entertainment,2,0,0,0,0,2
video_arcade,entertainment,0,0,1,0,1,2
bowling_alley,entertainment,0,0,1,0,0,1
casino,entertainment,0,0,0,0,1,1
restaurant,food,17,11,11,12,13,64
bar,food,9,5,3,3,6,26
market,food,1,1,4,4,5,15
fast_food_restaurant,food,1,3,2,1,4,11
mediterranean_restaurant,food,5,0,5,0,1,11
bakery,food,0,1,0,3,5,9
cafe,food,3,3,0,1,1,8
brunch_restaurant,food,1,2,1,0,2,6
spanish_restaurant,food,5,0,1,0,0,6
american_restaurant,food,0,1,0,1,3,5
dessert_shop,food,2,1,1,1,0,5
meal_takeaway,food,0,2,0,1,2,5
italian_restaurant,food,0,2,1,0,1,4
pizza_restaurant,food,0,2,0,0,2,4
bar_and_grill,food,2,0,1,0,0,3
breakfast_restaurant,food,1,1,0,0,1,3
cafeteria,food,1,0,1,1,0,3
coffee_shop,food,2,1,0,0,0,3
hamburger_restaurant,food,0,0,0,1,2,3
food_court,food,0,0,0,1,1,2
french_restaurant,food,0,2,0,0,0,2
ice_cream_shop,food,1,0,1,0,0,2
japanese_restaurant,food,1,0,1,0,0,2
korean_restaurant,food,0,0,0,1,1,2
seafood_restaurant,food,2,0,0,0,0,2
sushi_restaurant,food,1,0,1,0,0,2
vegetarian_restaurant,food,0,1,1,0,0,2
barbecue_restaurant,food,0,0,1,0,0,1
buffet_restaurant,food,0,0,1,0,0,1
chinese_restaurant,food,0,0,1,0,0,1
diner,food,0,1,0,0,0,1
meal_delivery,food,0,0,0,1,0,1
sandwich_shop,food,0,0,0,0,1,1
turkish_restaurant,food,0,1,0,0,0,1
vegan_restaurant,food,0,0,1,0,0,1
wine_bar,food,0,1,0,0,0,1
local_government_office,government,3,2,2,1,1,9
city_hall,government,1,2,2,0,1,6
police,government,1,0,1,0,0,2
courthouse,government,1,0,0,0,0,1
embassy,government,0,1,0,0,0,1
hospital,health,4,4,3,5,6,22
gym,health,1,3,5,4,3,16
doctor,health,0,0,1,3,5,9
spa,health,0,0,2,2,2,6
swimming_pool,health,0,0,0,1,3,4
dental_clinic,health,0,0,0,1,0,1
massage,health,0,0,1,0,0,1
medical_lab,health,0,0,0,1,0,1
pharmacy,health,0,0,1,0,0,1
sauna,health,0,0,0,0,1,1
wellness_center,health,0,0,0,0,1,1
hotel,lodging,2,9,4,11,7,33
hostel,lodging,1,1,0,0,2,4
campground,lodging,1,0,0,0,1,2
motel,lodging,0,0,0,2,0,2
resort_hotel,lodging,0,0,1,0,0,1
rv_park,lodging,1,0,0,0,0,1
establishment,meta,74,100,100,99,100,473
point_of_interest,meta,74,100,100,99,100,473
food,other,24,17,21,28,29,119
service,other,19,16,21,22,22,100
store,other,9,18,19,21,28,95
transportation_service,other,5,23,12,11,12,63
food_store,other,8,6,10,13,19,56
health,other,5,7,13,11,15,51
lodging,other,4,10,4,12,8,38
event_venue,other,5,5,6,5,8,29
association_or_organization,other,1,4,10,3,7,25
educational_institution,other,4,3,5,6,7,25
manufacturer,other,1,3,3,10,3,20
government_office,other,4,5,3,3,3,18
medical_clinic,other,0,0,1,3,8,12
general_hospital,other,2,3,3,1,1,10
hypermarket,other,1,1,3,1,4,10
supplier,other,1,2,3,2,2,10
art_museum,other,0,6,1,1,1,9
home_improvement_store,other,0,3,2,2,2,9
parking_lot,other,3,0,0,0,5,8
place_of_worship,other,1,2,2,1,2,8
womens_clothing_store,other,0,3,1,1,2,7
confectionery,other,2,1,1,1,1,6
live_music_venue,other,1,0,2,1,2,6
sports_school,other,0,1,3,2,0,6
sportswear_store,other,0,0,2,1,3,6
transit_stop,other,0,1,2,1,2,6
building_materials_store,other,0,1,1,2,1,5
discount_supermarket,other,0,0,1,4,0,5
farm,other,1,0,0,4,0,5
winery,other,1,0,0,4,0,5
cocktail_bar,other,2,1,1,0,0,4
concert_hall,other,1,0,1,1,1,4
general_contractor,other,0,2,0,1,1,4
general_store,other,0,1,1,1,1,4
parking_garage,other,2,0,0,0,2,4
tram_stop,other,0,1,1,0,2,4
warehouse_store,other,0,1,1,1,1,4
academic_department,other,1,0,0,2,0,3
business_center,other,0,0,0,3,0,3
city_park,other,0,0,0,2,1,3
corporate_office,other,1,1,1,0,0,3
coworking_space,other,0,3,0,0,0,3
food_delivery,other,1,1,0,1,0,3
history_museum,other,0,1,2,0,0,3
scenic_spot,other,2,0,0,1,0,3
arena,other,0,1,1,0,0,2
asian_restaurant,other,0,0,0,2,0,2
bistro,other,0,2,0,0,0,2
botanical_garden,other,1,0,0,1,0,2
butcher_shop,other,0,0,0,2,0,2
catering_service,other,1,1,0,0,0,2
cemetery,other,0,2,0,0,0,2
chicken_restaurant,other,0,1,0,0,1,2
cosmetics_store,other,0,1,0,0,1,2
family_restaurant,other,0,0,0,1,1,2
non_profit_organization,other,0,0,1,0,1,2
portuguese_restaurant,other,0,0,0,2,0,2
shipping_service,other,0,1,0,1,0,2
thrift_store,other,0,0,2,0,0,2
auto_parts_store,other,0,0,0,1,0,1
bridge,other,0,1,0,0,0,1
cake_shop,other,0,1,0,0,0,1
candy_store,other,0,0,0,0,1,1
castle,other,1,0,0,0,0,1
cell_phone_store,other,0,0,0,0,1,1
chauffeur_service,other,0,0,1,0,0,1
